区域,地址,标题,户型,面积,价格,楼层,建造时间,朝向,更新时间,看房人数,备注,链接地址
燕莎租房,新源街,亮马桥 新源街  精装两居 交通便利 看房方便 随时入住,2室1厅,50平米,5800,中楼层(共6层),1981年建板楼,南,2017.07.21,26, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101803342.html
望京租房,澳洲康都,澳洲康都东向精致两居室...........,2室1厅,79平米,7800,中楼层(共28层),2005年建板塔结合,东,2017.07.23,33, 距离14号线(东段)东湖渠站731米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101753126.html
广安门租房,远见名苑,远见名苑 东向两居室 独立小区环境 适合居家,2室1厅,86平米,8000,低楼层(共25层),2006年建塔楼,东,2017.07.20,34, 距离7号线达官营站684米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101756753.html
天通苑租房,天通苑北一区,北一区简装两居，采光好，视野美，出行方便,2室1厅,103平米,5300,低楼层(共13层),2004年建板楼,东南,2017.07.25,30, 距离5号线天通苑站927米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101780034.html
团结湖租房,团结湖北口,团结湖北口近地铁高楼层朝南向精装修正规两居室,2室1厅,63平米,6400,高楼层(共16层),1982年建塔楼,南,2017.07.26,30, 距离10号线团结湖站88米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101781083.html
回龙观租房,龙华园,龙泽龙华园57平低楼层一居室家具家电齐全拎包入住,1室1厅,58平米,4000,低楼层(共6层),1994年建板楼,南,2017.07.23,61, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101748994.html
北苑租房,筑华年,筑华年西南小三居 靠谱出租 看房方便有钥匙,3室1厅,89平米,7500,高楼层(共24层),2012年建板楼,南,2017.07.25,29, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101767631.html
马甸租房,月季园,10号牡丹园站月季园小区 拎包入住 离梦想更近一点,2室1厅,53平米,6000,低楼层(共21层),1997年建塔楼,南,2017.07.16,26, 距离10号线牡丹园站580米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101763532.html
小西天租房,今典花园,花园社区，西直门 今典花园精装两居，诚心出售。,2室1厅,73平米,8500,中楼层(共25层),2004年建塔楼,西,2017.07.23,44, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101758850.html
北苑租房,北苑家园绣菊园,北苑东南两居室，可改三居 业主随时签约,2室1厅,82平米,5300,低楼层(共25层),2000年建塔楼,东南,2017.07.26,30, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101779767.html
和平里租房,甘水桥,北三环里   蒋宅口   安外甘水桥   正规三居室   ,3室1厅,76平米,7600,高楼层(共14层),1988年建板塔结合,东 西,2017.07.26,24, 距离5号线和平里北街站1198米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101753337.html
健翔桥租房,华严北里中科院,中科院 双南向 二居室 看房方便,2室1厅,60平米,6300,中楼层(共16层),1988年建塔楼,南,2017.07.25,27, 距离10号线健德门站1056米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101758776.html
