,学生id,助学金金额
0,2,2000
1,3,1000
2,16,2000
3,17,2000
4,32,2000
5,33,1000
6,34,2000
7,35,2000
8,38,1000
9,39,1000
10,46,2000
11,47,1500
12,48,2000
13,49,2000
14,60,2000
15,61,2000
16,72,1000
17,73,1000
18,90,2000
19,91,1000
20,96,2000
21,97,1000
22,100,2000
23,101,2000
24,102,2000
25,103,2000
26,104,2000
27,105,2000
28,108,2000
29,109,2000
30,110,2000
31,111,2000
32,114,2000
33,115,2000
34,116,2000
35,117,2000
36,120,2000
37,121,2000
38,136,2000
39,137,2000
40,140,2000
41,141,2000
42,146,2000
43,147,2000
44,148,2000
45,149,2000
46,166,2000
47,167,2000
48,182,2000
49,183,2000
50,190,2000
51,191,1000
52,200,2000
53,201,2000
54,202,1000
55,203,2000
56,204,2000
57,205,2000
58,214,2000
59,215,1000
60,218,2000
61,219,2000
62,228,2000
63,229,2000
64,234,2000
65,235,0
66,250,2000
67,251,2000
68,260,2000
69,261,2000
70,268,2000
71,269,2000
72,270,2000
73,271,0
74,272,2000
75,273,2000
76,274,2000
77,275,2000
78,276,2000
79,277,2000
80,278,2000
81,279,2000
82,286,2000
83,287,2000
84,290,1000
85,291,2000
86,298,2000
87,299,2000
88,304,2000
89,305,2000
90,308,2000
91,309,2000
92,310,2000
93,311,2000
94,312,2000
95,313,2000
96,318,1000
97,319,2000
98,320,1000
99,321,2000
100,324,1500
101,325,2000
102,328,2000
103,329,2000
104,334,2000
105,335,2000
106,344,2000
107,345,1000
108,348,2000
109,349,2000
110,358,2000
111,359,2000
112,362,2000
113,363,2000
114,376,1500
115,377,1500
116,384,2000
117,385,2000
118,386,2000
119,387,2000
120,388,2000
121,389,2000
122,390,1000
123,391,2000
124,394,1000
125,395,2000
126,396,2000
127,397,1000
128,404,2000
129,405,1000
130,416,2000
131,417,2000
132,418,2000
133,419,2000
134,420,2000
135,421,2000
136,424,2000
137,425,2000
138,432,2000
139,433,2000
140,442,2000
141,443,2000
