,学生id,助学金金额
0,2,0
1,3,0
2,16,0
3,17,0
4,32,0
5,33,0
6,34,0
7,35,0
8,38,0
9,39,0
10,46,0
11,47,0
12,48,0
13,49,0
14,60,0
15,61,0
16,72,0
17,73,0
18,90,0
19,91,0
20,96,0
21,97,0
22,100,0
23,101,0
24,102,0
25,103,0
26,104,0
27,105,0
28,108,0
29,109,0
30,110,0
31,111,0
32,114,0
33,115,0
34,116,0
35,117,0
36,120,0
37,121,0
38,136,0
39,137,0
40,140,0
41,141,0
42,146,0
43,147,0
44,148,0
45,149,0
46,166,0
47,167,0
48,182,0
49,183,0
50,190,0
51,191,0
52,200,0
53,201,0
54,202,0
55,203,0
56,204,0
57,205,0
58,214,0
59,215,0
60,218,0
61,219,0
62,228,0
63,229,0
64,234,0
65,235,0
66,250,0
67,251,0
68,260,0
69,261,0
70,268,0
71,269,0
72,270,0
73,271,0
74,272,0
75,273,0
76,274,0
77,275,0
78,276,0
79,277,0
80,278,0
81,279,0
82,286,0
83,287,0
84,290,0
85,291,0
86,298,0
87,299,0
88,304,0
89,305,0
90,308,0
91,309,0
92,310,0
93,311,0
94,312,0
95,313,0
96,318,0
97,319,0
98,320,0
99,321,0
100,324,0
101,325,0
102,328,0
103,329,0
104,334,0
105,335,0
106,344,0
107,345,0
108,348,0
109,349,0
110,358,0
111,359,0
112,362,0
113,363,0
114,376,0
115,377,0
116,384,0
117,385,0
118,386,0
119,387,0
120,388,0
121,389,0
122,390,0
123,391,0
124,394,0
125,395,0
126,396,0
127,397,0
128,404,0
129,405,0
130,416,0
131,417,0
132,418,0
133,419,0
134,420,0
135,421,0
136,424,0
137,425,0
138,432,0
139,433,0
140,442,0
141,443,0
142,444,0
143,445,0
144,446,0
145,447,0
146,452,0
147,453,0
148,454,0
149,455,0
150,460,0
151,461,0
152,462,0
153,463,0
154,466,0
155,467,0
156,468,0
157,469,0
158,474,0
159,475,0
160,478,0
161,479,0
162,484,0
163,485,0
164,486,0
165,487,0
166,488,0
167,489,0
168,498,0
169,499,0
170,500,0
171,501,0
172,502,0
173,503,0
174,512,0
175,513,0
176,526,0
177,527,0
178,544,0
179,545,0
180,550,0
181,551,0
182,558,0
183,559,0
184,562,0
185,563,0
186,570,0
187,571,0
188,574,0
189,575,0
190,578,0
191,579,0
192,582,0
193,583,0
194,586,0
195,587,0
196,588,0
197,589,0
198,592,0
199,593,0
200,594,0
201,595,0
202,598,0
203,599,0
204,604,0
205,605,0
206,608,0
207,609,0
208,610,0
209,611,0
210,614,0
211,615,0
212,618,0
213,619,0
214,620,0
215,621,0
216,630,0
217,631,0
218,640,0
219,641,0
220,642,0
221,643,0
222,646,0
223,647,0
224,654,0
225,655,0
226,664,0
227,665,0
228,668,0
229,669,0
230,678,0
231,679,0
232,682,0
233,683,0
234,684,0
235,685,0
236,686,0
237,687,0
238,692,0
239,693,0
240,710,0
241,711,0
242,728,0
243,729,0
244,730,0
245,731,0
246,734,0
247,735,0
248,736,0
249,737,0
250,738,0
251,739,0
252,740,0
253,741,0
254,748,0
255,749,0
256,750,0
257,751,0
258,758,0
259,759,0
260,766,0
261,767,0
262,776,0
263,777,0
264,788,0
265,789,0
266,790,0
267,791,0
268,798,0
269,799,0
270,804,0
271,805,0
272,808,0
273,809,0
274,810,0
275,811,0
276,830,0
277,831,0
278,832,0
279,833,0
280,834,0
281,835,0
282,842,0
283,843,0
284,846,0
285,847,0
286,848,0
287,849,0
288,850,0
289,851,0
290,852,0
291,853,0
292,854,0
293,855,0
294,858,0
295,859,0
296,860,0
297,861,0
298,864,0
299,865,0
300,868,0
301,869,0
302,902,0
303,903,0
304,914,0
305,915,0
306,922,0
307,923,0
308,924,0
309,925,0
310,934,0
311,935,0
312,938,0
313,939,0
314,942,0
315,943,0
316,944,0
317,945,0
318,950,0
319,951,0
320,952,0
321,953,0
322,954,0
323,955,0
324,956,0
325,957,0
326,960,0
327,961,0
328,974,0
329,975,0
330,978,0
331,979,0
332,980,0
333,981,0
334,982,0
335,983,0
336,984,0
337,985,0
338,992,0
339,993,0
340,994,0
341,995,0
342,1000,0
343,1001,0
344,1008,0
345,1009,0
346,1022,0
347,1023,0
348,1026,0
349,1027,0
350,1038,0
351,1039,0
352,1044,0
353,1045,0
354,1046,0
355,1047,0
356,1048,0
357,1049,0
358,1052,0
359,1053,0
360,1058,0
361,1059,0
362,1060,0
363,1061,0
364,1062,0
365,1063,0
366,1064,0
367,1065,0
368,1066,0
369,1067,0
370,1068,0
371,1069,0
372,1074,0
373,1075,0
374,1078,0
375,1079,0
376,1080,0
377,1081,0
378,1088,0
379,1089,0
380,1092,0
381,1093,0
382,1096,0
383,1097,0
384,1120,0
385,1121,0
386,1128,0
387,1129,0
388,1130,0
389,1131,0
390,1134,0
391,1135,0
392,1140,0
393,1141,0
394,1144,0
395,1145,0
396,1150,0
397,1151,0
398,1152,0
399,1153,0
400,1156,0
401,1157,0
402,1166,0
403,1167,0
404,1168,0
405,1169,0
406,1176,0
407,1177,0
408,1198,0
409,1199,0
410,1204,0
411,1205,0
412,1206,0
413,1207,0
414,1208,0
415,1209,0
416,1210,0
417,1211,0
418,1212,0
419,1213,0
420,1214,0
421,1215,0
422,1216,0
423,1217,0
424,1220,0
425,1221,0
426,1224,0
427,1225,0
428,1232,0
429,1233,0
430,1240,0
431,1241,0
432,1246,0
433,1247,0
434,1252,0
435,1253,0
436,1256,0
437,1257,0
438,1268,0
439,1269,0
440,1270,0
441,1271,0
442,1272,0
443,1273,0
444,1282,0
445,1283,0
446,1284,0
447,1285,0
448,1288,0
449,1289,0
450,1290,0
451,1291,0
452,1304,0
453,1305,0
454,1306,0
455,1307,0
456,1318,0
457,1319,0
458,1320,0
459,1321,0
460,1324,0
461,1325,0
462,1326,0
463,1327,0
464,1350,0
465,1351,0
466,1352,0
467,1353,0
468,1354,0
469,1355,0
470,1358,0
471,1359,0
472,1364,0
473,1365,0
474,1372,0
475,1373,0
476,1392,0
477,1393,0
478,1396,0
479,1397,0
480,1414,0
481,1415,0
482,1434,0
483,1435,0
484,1440,0
485,1441,0
486,1448,0
487,1449,0
488,1452,0
489,1453,0
490,1460,0
491,1461,0
492,1464,0
493,1465,0
494,1476,0
495,1477,0
496,1478,0
497,1479,0
498,1480,0
499,1481,0
500,1486,0
501,1487,0
502,1488,0
503,1489,0
504,1494,0
505,1495,0
506,1504,0
507,1505,0
508,1518,0
509,1519,0
510,1520,0
511,1521,0
512,1524,0
513,1525,0
514,1532,0
515,1533,0
516,1534,0
517,1535,0
518,1548,0
519,1549,0
520,1552,0
521,1553,0
522,1554,0
523,1555,0
524,1564,0
525,1565,0
526,1568,0
527,1569,0
528,1570,0
529,1571,0
530,1576,0
531,1577,0
532,1580,0
533,1581,0
534,1592,0
535,1593,0
536,1628,0
537,1629,0
538,1634,0
539,1635,0
540,1640,0
541,1641,0
542,1660,0
543,1661,0
544,1662,0
545,1663,0
546,1664,0
547,1665,0
